"iteration","tmat","fmat","dlm","LH_2022_class1","LH_2022_class2","LH_2022_class3","LH_2023_class1","LH_2023_class2","LH_2023_class3","LH_2024_class1","LH_2024_class2","LH_2024_class3","LH_2025_class1","LH_2025_class2","LH_2025_class3","OBC_2022_class1","OBC_2022_class2","OBC_2022_class3","OBC_2025_class1","OBC_2025_class2","OBC_2025_class3"
11,1.74586385441944,0.657619327597786,0.161450219131075,1,1655,54448,2336404.36021048,135950.583676949,132948.018562537,5461387.04832877,1651358.33314334,1592349.46719744,8406151.1918142,4668415.61318399,4590982.44988833,1,1,1770,186172.124851304,941049.888684729,958909.721652467
12,1.62246055072173,1.08136224157643,0.256268262420781,1,1655,54448,309498.443384821,126341.156731716,123550.822630477,825351.070344209,280303.597021223,277023.020896188,1621640.44163321,674927.903359961,665572.312666267,1,1,1770,24465.5436395956,744914.523231639,762347.80411905
13,1.11610269742087,0.987239974876866,0.244793195882812,1,1655,54448,389492.28311335,86911.0227430882,84991.5311315898,733232.518008676,210748.124446185,205945.661850686,1576822.63289947,397069.473962357,390161.98019516,1,1,1770,25360.0399133619,416112.899218947,420758.369226993
14,1.00521141234785,0.762447916623205,0.165948787727393,1,1655,54448,2419299.65746241,78275.9078730481,76547.1289011462,3642598.19156496,961392.580802381,924605.296130482,16059094.4703921,1741965.40071714,1708572.79264713,1,1,1770,156687.106999382,406007.557719938,406925.27815742
15,1.17212100205943,0.74033358549932,0.227921388484538,1,1655,54448,464489.019334669,91273.1734302267,89257.3406253126,911244.260712144,256559.413275079,250258.884330186,2192702.77941904,515715.468986284,506533.887264408,1,1,1770,31067.2983136316,449817.545943199,455380.838435906
16,1.7030827424489,1.28460049392888,0.281358735426329,1,1655,54448,179028.288557155,132619.214436431,129690.224975719,503468.850620707,213743.5671857,214086.534417124,774216.408745308,459168.755506501,455186.784444197,1,1,1770,14815.094250341,802054.641142315,822550.824360676
17,1.74709890857339,0.931357395381201,0.188100567867514,1,1655,54448,1679430.50690677,136046.757460876,133042.0682802,4245299.52853989,1216768.51028489,1175857.44743553,8032238.86025639,3589382.43039607,3526288.31520239,1,1,1770,133137.753760066,910353.000962655,929546.55420877
18,1.17437175149098,0.975258907640818,0.15014609353384,1,1655,54448,4589497.92228442,91448.4395016075,89428.7358211338,5440065.40126526,2096505.18871878,2013658.02600628,20707138.3762759,3320510.92692637,3281851.61491351,1,1,1770,340593.138085401,571899.956953612,572573.15548809
19,1.17133718878031,1.1300365538802,0.257305114669725,1,1655,54448,313975.500464418,91212.1378159543,89197.6530258938,619716.032769864,189419.995877715,185907.40907823,1173940.02778714,357164.09009214,351397.630420413,1,1,1770,21129.7581109952,444975.490247782,450703.439248323
20,1.12871747789904,0.982457585330121,0.170080175762996,1,1655,54448,2808689.18361855,87893.3368935438,85952.1501769581,4412968.97376523,1250337.54506105,1202366.0810094,11566541.6321986,2404542.0288993,2361570.8923366,1,1,1770,195609.771958684,490438.441241797,492551.766350027
21,1.87117044804618,1.12647681214148,0.343127651512623,1,1655,54448,24182.212996966,145708.219989197,142490.150552569,73907.8719799329,133714.173643163,139300.643379969,72600.4201650062,144932.234982223,149573.463192301,1,1,1770,3150.0156927278,935251.621263048,962749.513746486
22,1.19343463424593,0.960451407008804,0.121584740781691,1,1655,54448,9048467.33351096,92932.8679869906,90880.3796500299,3416968.49062244,4151748.79226117,3983522.99518894,79435008.5371868,3348016.25889775,3408829.27996106,1,1,1770,719306.341735785,718848.40640077,714338.154786912
23,0.965596626605839,0.804176959337201,0.218582943337969,1,1655,54448,649289.431472248,75191.1007557972,73530.4519381355,1062865.01865195,273472.100154369,265061.783817941,3157668.81953104,486365.753432071,476863.860129584,1,1,1770,38704.6080105956,343256.504956662,345388.630161425
24,1.83061096258461,0.872003558510914,0.298094378749374,1,1655,54448,74366.6573063357,142549.849015322,139401.53444291,224639.92079333,163599.36409416,167464.097489074,264174.061359668,266421.027388613,267959.550884013,1,1,1770,6982.30772296566,902638.018501074,928315.063498127
25,1.83653837963939,1.2750249928562,0.336502265848685,1,1655,54448,33602.4412030293,143011.417542704,139852.908901824,101385.744725229,136010.542151856,141092.5212106,102353.631456941,162941.944108715,166785.796844232,1,1,1770,3848.98958944549,905638.809329521,931647.443883322
26,0.953526012413204,1.24498124696547,0.337692978174891,1,1655,54448,31407.222977713,74251.1608855295,72611.2713069073,51328.3825754272,46021.5535106429,47002.0897882978,34069.3881281434,35327.6961219333,35704.7158405678,1,1,1770,2432.70655205018,323328.466962583,325876.902303749
27,1.85519937779754,0.681115402164869,0.111411269719247,1,1655,54448,8172405.99383342,144464.551236476,141273.94910679,3879729.11828572,5871500.65276957,5638137.97086302,101404059.346096,6688628.62134131,6850503.80820464,1,1,1770,615152.820304413,1346057.3255269,1355659.2270373
28,1.09795316914096,0.658223784225993,0.133488360000774,1,1655,54448,4656389.89761517,85497.717257172,83609.4395002467,5207458.21023372,1985596.728448,1906811.64826286,19898629.8619646,2963263.41449455,2928062.78797872,1,1,1770,336312.403635908,520845.930754581,520496.989998972
29,0.963290264923126,1.04915518598864,0.334323288197629,1,1655,54448,29460.5184702532,75011.5041531519,73354.8218539058,48587.1557106727,46046.6646244691,47085.7618978002,32005.5761025837,34695.6031186517,35120.3949183168,1,1,1770,2339.99012060665,327996.134220218,330676.190414779
30,0.919837924838066,0.849040959880222,0.147577362274751,1,1655,54448,4256908.99604743,71627.8663157917,70045.914059297,4658465.15972778,1519328.83450784,1458801.41746591,13974664.2322818,2135118.51279794,2102746.17631332,1,1,1770,279589.866639704,398054.21190896,396457.722598277
31,0.881973504275084,0.92596754374681,0.135891595936846,1,1655,54448,6179197.09827211,68679.3603007916,67162.5278919712,3624453.31413191,2099588.95267761,2014698.59297454,27669841.1582375,1886726.5737698,1883015.8917102,1,1,1770,419860.083238541,415042.818985371,411583.800328349
32,1.98330568857491,0.868882575561293,0.251645280711818,1,1655,54448,283367.399446221,154440.201788377,151029.280337283,911665.030564657,343196.180324984,341442.230524328,1766307.75571771,935314.568188708,924549.756218471,1,1,1770,23155.0760059612,1051636.15665109,1083621.65595523
33,1.06188206151128,0.812575619108975,0.288429025176447,1,1655,54448,92057.6565488912,82688.8566901144,80862.6146120498,166946.666254707,78957.7859664367,79263.2685653032,162638.506371044,98654.8436606463,98038.5050064188,1,1,1770,6301.98564041129,379100.760257035,383169.481740185
34,1.90076927747577,1.27214057447854,0.170255544967949,1,1655,54448,3620851.00539472,148013.083639889,144744.109653947,7370994.38655185,2733214.95399501,2630987.07723576,21377400.9639237,7207294.9809089,7117670.56725163,1,1,1770,285679.957749777,1154689.73960943,1175654.40879279
35,1.49386611422524,0.942095839604735,0.143912653811276,1,1655,54448,5168847.38718246,116327.49578384,113758.320490578,6071582.93307009,3008981.49087585,2890879.47143705,33303208.5820625,5076895.99084804,5047351.42049126,1,1,1770,415887.364675769,843528.323154447,849085.016754345
36,1.88232092736289,0.809314481925685,0.125072348071262,1,1655,54448,7013731.01773771,146576.50886954,143339.26265683,3211946.81659802,5130655.41871497,4928443.46518869,76062253.3208975,5802928.97324938,5951828.39777371,1,1,1770,535097.448190083,1316019.60131206,1328973.29867616
37,1.14230358712375,0.9513734288048,0.319517863297369,1,1655,54448,42341.0241717299,88951.2885054762,86986.7361767923,82087.9485954275,65970.673922486,67381.1079239356,64515.4882664862,63935.2728982841,64446.8799912954,1,1,1770,3459.42014016651,420893.369045903,426399.32924738
38,1.88706681486219,1.02378649286693,0.2762129238341,1,1655,54448,165818.758894041,146946.071578546,143700.663311157,513504.306101244,237183.380105836,238654.571988024,791139.317191306,532019.760187704,528534.689292862,1,1,1770,14090.8513359004,956816.356037103,984698.787718461
39,1.96682020640001,0.745672364905477,0.172198941372335,1,1655,54448,2020622.36619017,153156.475730242,149773.906280106,5421891.20027658,1636811.81265441,1581020.80200968,7224011.83056481,5219368.68320703,5132781.6817206,1,1,1770,158439.471178091,1133440.84808449,1160714.99440886
40,1.17468382176012,0.939955852902494,0.154758070327807,1,1655,54448,3945745.39386682,91472.7404430183,89452.500059009,5360806.85310581,1809941.36635239,1739020.97437277,15429343.0246679,3163848.06638668,3118147.98257506,1,1,1770,288562.44353343,553257.958981904,554705.62900485
41,1.8246575188823,0.79774368252838,0.125541988667101,1,1655,54448,6835939.32051693,142086.253790432,138948.178047541,3573789.97038382,4847329.65527145,4656226.64235468,70111137.4217528,5688192.89927535,5809008.47044685,1,1,1770,533251.62455702,1242900.16780337,1254330.99069988
42,1.3871297092177,1.14118927902309,0.314764406497125,1,1655,54448,58734.8875701115,108015.921817966,105630.313533839,136779.96647031,98344.0625304745,100379.58111576,130048.163549937,122745.128489274,123377.086116343,1,1,1770,5081.14721541784,568357.292888981,579236.556704141
43,1.77135755289346,0.885236855968833,0.313233261718415,1,1655,54448,47905.071625035,137935.780391374,134889.37079878,140146.262899031,137539.452137303,141808.876185793,146587.079662558,184211.765684683,186866.303946324,1,1,1770,4888.85857074396,851318.353653169,874657.845248329
44,1.03482484193519,0.875853965058923,0.300197854079306,1,1655,54448,69963.6080357736,80581.9084394056,78802.1998086005,123825.878435511,67473.1903447879,68075.8956664664,107402.877802771,74883.8363074045,74682.9434243785,1,1,1770,4876.81248374375,364562.86781403,368230.646375237
45,1.45176492435858,0.945926472684369,0.208951537054963,1,1655,54448,987794.323858689,113049.072141941,110552.303161261,2269676.52226179,617709.172611539,598717.345308227,7650934.15807306,1577892.70783181,1548695.98448774,1,1,1770,73886.3691951598,646972.862532484,658140.11727503
46,0.911190031189472,0.90441706959391,0.167856918962207,1,1655,54448,2734957.36379242,70954.4540184201,69387.3745503829,3713992.83587743,978258.980659031,940196.025107221,17707911.4445348,1609312.31936265,1578388.9616747,1,1,1770,169815.966191511,360628.947470241,360294.313060507
47,1.72832377403975,1.12954410695238,0.275440112536307,1,1655,54448,186996.248580729,134584.735956736,131612.336558465,532892.090187386,223373.477832953,223591.562009945,838502.802272489,491324.467484774,486913.460469505,1,1,1770,15487.9150654255,822769.637466669,844184.599809705
48,1.2315796373412,1.26258393550525,0.277197531214915,1,1655,54448,198481.184463758,95903.222990351,93785.1322553035,412282.682030034,147250.47405606,145953.647838512,607765.332270299,259678.543686548,256355.906139921,1,1,1770,14005.2379054272,476490.839806589,483555.453274248
49,1.53172139124945,1.17537778442493,0.331304222776089,1,1655,54448,36379.3130047337,119275.28979061,116641.010374881,92745.7425606858,101853.749090831,105087.303290317,84188.400435179,111881.210613568,113837.110053506,1,1,1770,3724.85519452917,666163.389541963,681160.085367658
50,1.61834948509932,0.817704673472326,0.343732700473629,1,1655,54448,17287.1953001194,126021.02766238,123237.76383881,45914.0347341109,99845.1867799154,104031.379241041,39333.6565062095,88251.3272376291,91471.9098338141,1,1,1770,2408.44988517486,728917.751854713,746735.998125735
51,1.94579971143976,0.820458567980677,0.172412399516907,1,1655,54448,2211219.24192418,151519.607797047,148173.189736777,5739315.17142726,1758978.95102876,1697842.41888647,8482124.57073742,5484395.3706072,5394964.58674901,1,1,1770,173871.61017651,1123135.74808448,1149064.48687642
52,1.43795058233663,0.673471139953472,0.214524978213012,1,1655,54448,606371.607700683,111973.348020474,109500.337170377,1419845.66613146,403016.901443134,392831.673648117,3940999.22539191,986814.954576599,969402.007029653,1,1,1770,45063.0450709337,622752.658689074,634142.443449992
53,1.38051130734384,1.16454916143557,0.294759717502166,1,1655,54448,109387.077267998,107500.546237286,105126.320388581,253566.618949703,124167.438381374,125070.064369387,294957.97428555,196317.474631018,195297.193955993,1,1,1770,8628.54214429729,565878.756690515,576513.505157512
54,1.79764975532889,0.856094705685973,0.324565265816636,1,1655,54448,32810.3782151644,139983.156684893,136891.529333987,97021.0950540932,130613.805881328,135470.262340586,96223.831821108,152990.863356672,156610.024377701,1,1,1770,3755.61093700496,872513.600079026,896929.017475707
55,1.16865725656971,0.764032401528675,0.314954224938992,1,1655,54448,39155.1198972394,91003.4512409258,88993.5754419639,77521.0817834396,66949.522571289,68513.1810651047,60607.3726886638,63799.052320147,64441.9130446167,1,1,1770,3309.64729575106,435453.837545749,441457.756630199
56,1.69534570546821,1.25313652959885,0.280851252574939,1,1655,54448,177253.808710025,132016.730634048,129101.047455648,496416.589403974,211259.49075878,211622.086862758,759082.157371093,451014.34238245,447129.101398257,1,1,1770,14659.4685497629,795800.764303545,816018.618958062
57,1.11148140216246,1.16510960554006,0.123071195464581,1,1655,54448,10592959.116153,86551.1620436797,84639.6182110939,4154110.3272213,4515894.20351285,4331914.08408613,101199319.382567,3576124.2914534,3630019.64731679,1,1,1770,836859.070175343,692313.18850835,685488.394078161
58,1.12505969777703,1.28215417601168,0.150030889455229,1,1655,54448,6050821.06393754,87608.5052090509,85673.6092023409,4271874.35896696,2631159.96188742,2525703.73908553,33935483.4619118,2900399.49655849,2899309.77723042,1,1,1770,454713.858056023,578054.213928471,576440.490348196
59,0.907870765123516,1.00234956269851,0.202031450427603,1,1655,54448,1256566.40676444,70695.9824555297,69134.6115153768,1902681.91191788,464981.459179713,448257.675466155,8371751.64928955,809903.263047386,793305.281254283,1,1,1770,73590.7539582525,327599.994493604,328515.195702372
60,0.908544787205756,1.14229486722033,0.242453268403187,1,1655,54448,480800.622038698,70748.4686189036,69185.9384845871,749442.514016817,197724.601748096,192125.755664385,1820994.20822647,324524.637086304,318336.737963848,1,1,1770,27555.7675193482,311546.729382863,313140.518994204
61,1.53320551225916,0.700294966844376,0.184895558538847,1,1655,54448,1371722.7781437,119390.858434182,116754.026602949,3199445.10152715,879397.81632261,850290.849608047,10339303.2085916,2353324.86409764,2310132.74480931,1,1,1770,105327.786017009,722091.998038018,734902.87755332
62,1.27140971282497,1.03436924826819,0.204234938276932,1,1655,54448,1223647.59926618,99004.7947401803,96818.2035920855,2461982.28446271,648347.553703979,626516.673903962,9377649.52456009,1488845.1344431,1460341.59859492,1,1,1770,86476.0576248071,533558.550482485,540121.444446192
63,1.11567123169079,0.996236895874608,0.255031214817427,1,1655,54448,295156.001958731,86877.4244658278,84958.6748961249,557470.284982864,170690.275982625,167551.625852056,1009843.82841315,306236.538009627,301301.176545722,1,1,1770,19325.0859200222,413288.528183965,418032.275781573
64,1.58583283666521,1.03835366071435,0.212237396358978,1,1655,54448,993586.098899598,123488.95316949,120761.612007918,2466272.33174013,684250.775168654,663786.98728619,7918162.92089584,1880291.80136285,1846194.51371442,1,1,1770,76753.4271939446,746523.209979284,761562.199643086
65,0.929115747008473,1.02372517870972,0.346927222062368,1,1655,54448,19315.0892248956,72350.331206811,70752.4228005192,30685.7682697251,39936.3843912844,41023.7796633911,18387.8862333553,25088.558287422,25612.4297759983,1,1,1770,1715.56303322636,311432.853806376,313678.497379789
66,0.850053699593991,0.884643450181466,0.242978368152399,1,1655,54448,367008.731727129,66193.7620874694,64731.8258790324,540069.728402066,146861.787817511,143051.848217275,1084781.04236204,220359.105900091,216282.015570163,1,1,1770,20208.4806395424,281949.525600118,283006.991993061
67,1.38460306162015,0.877985737181734,0.25863608813379,1,1655,54448,235050.54218676,107819.171530271,105437.908615866,543498.10222248,190761.136644214,188928.711402884,901059.299721609,382796.842814442,377760.878508995,1,1,1770,17544.8581332387,573078.836759558,583633.617920528
68,1.67765175150707,1.21174934317823,0.274435810884461,1,1655,54448,206469.715935384,130638.900763477,127753.647935511,571643.857363303,226826.200747077,226350.969274733,931696.623644984,503707.235472172,498519.298560771,1,1,1770,16840.4173054765,783142.036741953,802669.254265708
69,1.6258131781593,0.781350047991145,0.287675726949237,1,1655,54448,90651.0538841923,126602.226147772,123806.126143219,245032.265886678,145937.740378263,148283.051534903,286996.731989956,238780.703923097,238797.275189398,1,1,1770,7925.39877203359,737800.960884708,755740.006867497
70,0.964721493329853,1.01559800156392,0.227614701224957,1,1655,54448,642367.351812189,75122.954044721,73463.810295532,1050951.15414873,270664.793464036,262365.914324288,3100787.87059549,480577.746720138,471197.521485058,1,1,1770,38265.8923570854,342658.131498434,344785.581788803
71,1.55119448686019,0.808686359971762,0.159221921197604,1,1655,54448,3037607.08928539,120791.661589921,118123.892026948,5866486.61243635,1871691.26742519,1801469.88952244,12332767.8460562,4510537.30266774,4440354.31952594,1,1,1770,240208.738651595,805308.010616891,815819.984236698
